id letter
0 ஃ
1 அ
2 ஆ
3 இ
4 ஈ
5 உ
6 ஊ
7 எ
8 ஏ
9 ஐ
10 ஒ
11 ஓ
12 க்
13 ங்
14 ச்
15 ஞ்
16 ட்
17 ண்
18 த்
19 ந்
20 ப்
21 ம்
22 ய்
23 ர்
24 ல்
25 வ்
26 ழ்
27 ள்
28 ற்
29 ன்
30 க
31 ங
32 ச
33 ஞ
34 ட
35 ண
36 த
37 ந
38 ப
39 ம
40 ய
41 ர
42 ல
43 வ
44 ழ
45 ள
46 ற
47 ன
48 கி
49 ஙி
50 சி
51 ஞி
52 டி
53 ணி
54 தி
55 நி
56 பி
57 மி
58 யி
59 ரி
60 லி
61 வி
62 ழி
63 ளி
64 றி
65 னி
66 கீ
67 ஙீ
68 சீ
69 ஞீ
70 டீ
71 ணீ
72 தீ
73 நீ
74 பீ
75 மீ
76 யீ
77 ரீ
78 லீ
79 வீ
80 ழீ
81 ளீ
82 றீ
83 னீ
84 கு
85 ஙு
86 சு
87 ஞு
88 டு
89 ணு
90 து
91 நு
92 பு
93 மு
94 யு
95 ரு
96 லு
97 வு
98 ழு
99 ளு
100 று
101 னு
102 கூ
103 ஙூ
104 சூ
105 ஞூ
106 டூ
107 ணூ
108 தூ
109 நூ
110 பூ
111 மூ
112 யூ
113 ரூ
114 லூ
115 வூ
116 ழூ
117 ளூ
118 றூ
119 னூ
